ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ts
22,22,27,67,181,65,24,22,1560803743.880053
24,23,27,69,180,65,26,22,1560803743.902701
25,22,36,67,150,60,26,21,1560803743.919252
25,22,38,67,166,58,27,21,1560803743.940114
25,24,40,63,173,58,27,22,1560803743.9790108
25,23,40,60,154,55,27,21,1560803743.9806669
22,25,40,68,179,59,30,25,1560803744.000083
24,24,32,77,176,56,31,29,1560803744.022689
28,29,32,92,214,56,33,35,1560803744.0393
28,28,32,100,232,69,35,36,1560803744.061704
30,30,34,99,250,89,38,38,1560803744.099581
30,31,34,96,247,95,39,35,1560803744.105214
34,35,37,93,248,103,40,34,1560803744.120077
31,33,36,107,252,116,41,30,1560803744.1425529
32,35,38,99,229,109,41,30,1560803744.1591241
31,34,40,99,216,95,37,28,1560803744.180276
31,33,46,99,205,88,35,28,1560803744.21025
27,28,44,99,207,85,37,25,1560803744.219191
27,29,43,72,148,69,35,24,1560803744.240173
27,29,43,82,192,64,34,26,1560803744.262809
27,29,39,80,184,60,35,27,1560803744.293564
26,28,30,77,191,58,33,27,1560803744.3002698
26,29,34,83,197,46,34,31,1560803744.324636
27,31,43,80,200,45,34,33,1560803744.345318
27,32,51,73,167,39,33,32,1560803744.360171
27,33,53,75,169,46,35,35,1560803744.382804
28,36,54,86,167,49,36,35,1560803744.405097
29,39,54,82,168,59,32,33,1560803744.4202778
31,38,50,95,229,67,29,30,1560803744.442605
34,37,41,100,254,71,28,31,1560803744.466785
34,36,41,102,259,69,27,30,1560803744.4801881
34,34,44,94,270,73,26,30,1560803744.502677
33,33,43,100,298,74,30,30,1560803744.525284
30,31,43,90,286,69,31,31,1560803744.5476449
42,34,43,88,278,69,35,29,1560803744.562727
55,35,41,88,285,72,46,31,1560803744.585205
59,41,42,91,306,68,48,33,1560803744.6002939
59,43,42,81,288,62,47,30,1560803744.622753
60,41,45,78,266,62,52,35,1560803744.645267
54,43,47,90,301,71,56,37,1560803744.667726
45,46,52,90,296,70,49,36,1560803744.682748
57,40,50,85,254,66,48,34,1560803744.714285
68,47,51,88,262,71,51,41,1560803744.735088
69,48,61,113,274,84,52,39,1560803744.750319
69,46,63,106,221,75,47,40,1560803744.765493
74,56,70,108,227,76,48,42,1560803744.787776
65,58,75,135,276,94,58,46,1560803744.802665
54,50,76,137,277,93,55,40,1560803744.825078
54,54,74,118,274,84,54,40,1560803744.841835
52,53,73,113,285,91,57,39,1560803744.862781
42,40,63,116,293,92,58,36,1560803744.885186
38,37,60,85,250,75,48,31,1560803744.900143
39,40,59,83,228,68,47,31,1560803744.9228618
36,35,56,95,219,69,44,32,1560803744.945242
40,38,53,94,217,60,37,31,1560803744.960225
44,45,62,97,209,59,31,32,1560803744.9821038
47,52,67,99,204,62,34,32,1560803745.012521
45,52,70,93,212,66,36,32,1560803745.02105
46,51,66,85,192,60,35,31,1560803745.0420349
48,50,66,94,193,67,36,30,1560803745.064535
43,45,57,85,198,64,35,26,1560803745.0798562
41,36,49,80,197,64,34,26,1560803745.1026368
43,31,41,78,189,60,36,27,1560803745.126665
41,34,43,73,204,58,35,25,1560803745.140117
36,32,37,66,199,59,34,28,1560803745.162627
34,30,39,59,187,63,35,29,1560803745.186898
37,31,34,60,190,62,33,29,1560803745.207864
34,35,35,66,205,71,35,31,1560803745.2226632
38,35,46,70,233,73,34,33,1560803745.253394
38,40,50,71,228,66,36,33,1560803745.267833
44,47,57,83,233,66,36,34,1560803745.282851
41,46,62,90,241,66,36,35,1560803745.305218
40,45,66,93,239,58,31,31,1560803745.327843
45,44,63,90,233,64,31,29,1560803745.342771
42,42,70,90,235,66,26,25,1560803745.36683
37,33,63,84,216,58,23,23,1560803745.3877802
37,33,60,83,235,61,23,21,1560803745.4027472
37,30,56,80,237,64,25,20,1560803745.425258
23,30,48,79,198,58,24,20,1560803745.4483151
39,26,34,79,182,50,24,19,1560803745.462672
39,26,39,78,187,50,25,19,1560803745.485166
40,26,43,76,181,50,25,18,1560803745.507822
47,26,48,78,157,47,23,18,1560803745.522758
49,24,52,76,155,43,25,18,1560803745.545193
38,23,53,75,156,46,27,20,1560803745.5763721
35,22,52,71,151,47,28,20,1560803745.584959
34,22,48,68,107,44,33,28,1560803745.605219
27,22,43,60,102,43,33,30,1560803745.62785
27,24,51,61,147,60,33,33,1560803745.642815
35,35,61,57,144,64,33,36,1560803745.6651962
54,41,63,54,151,67,38,38,1560803745.707621
59,46,79,56,157,66,33,35,1560803745.711564
65,51,82,54,155,64,32,37,1560803745.724783
66,53,78,58,178,52,31,35,1560803745.747355
62,47,73,63,216,65,32,33,1560803745.762367
52,43,71,66,215,64,25,32,1560803745.785165
60,38,51,63,215,63,26,37,1560803745.807882
74,31,51,65,221,64,30,61,1560803745.8309462
75,28,51,63,179,63,29,64,1560803745.845152
76,29,51,61,133,45,27,64,1560803745.867789
74,31,55,62,161,46,28,65,1560803745.882845
88,30,56,65,161,45,32,94,1560803745.905323
79,35,70,69,154,46,32,83,1560803745.9359212
92,36,73,73,143,43,34,92,1560803745.94271
92,35,72,72,142,46,35,97,1560803745.965385
95,36,68,68,100,49,40,100,1560803745.987926
93,38,68,73,188,57,38,79,1560803746.002858
97,38,62,64,196,57,40,94,1560803746.025254
90,41,69,64,196,58,39,84,1560803746.0564609
90,43,67,63,194,54,39,98,1560803746.0644991
104,41,69,65,195,48,42,147,1560803746.093388
94,39,68,62,113,37,42,153,1560803746.107887
96,35,57,69,105,32,41,166,1560803746.130916
97,28,42,65,111,36,43,172,1560803746.145239
105,27,46,68,116,38,44,174,1560803746.176158
128,27,50,79,110,41,45,163,1560803746.19077
124,26,50,76,125,44,44,156,1560803746.2053869
118,26,53,71,125,46,42,133,1560803746.227734
137,28,50,76,131,43,45,134,1560803746.250951
141,28,56,77,126,45,43,120,1560803746.265177
124,32,65,73,135,44,37,101,1560803746.28776
137,31,69,79,123,41,37,118,1560803746.310981
144,32,66,82,125,39,35,118,1560803746.325244
122,33,69,76,117,38,28,111,1560803746.347758
141,32,70,80,117,33,33,136,1560803746.3708858
134,30,60,83,129,33,29,139,1560803746.385302
152,33,57,79,135,31,29,129,1560803746.40776
168,31,59,73,134,29,32,128,1560803746.431187
178,31,62,77,152,29,33,132,1560803746.445262
154,31,57,72,151,32,32,109,1560803746.467756
160,30,56,59,139,33,34,108,1560803746.49084
135,30,56,56,129,36,34,109,1560803746.50521
108,33,59,68,131,43,34,108,1560803746.527738
150,35,62,73,120,45,39,133,1560803746.550998
195,33,60,74,124,47,37,144,1560803746.56539
205,36,61,84,116,47,35,128,1560803746.587881
207,35,61,86,128,47,34,128,1560803746.611107
206,36,60,86,132,43,35,129,1560803746.63326
173,33,54,79,134,42,27,98,1560803746.647772
138,36,54,75,144,38,26,124,1560803746.671104
120,33,54,60,155,37,28,131,1560803746.685359
123,33,56,58,145,37,28,124,1560803746.707836
128,31,60,53,133,38,28,124,1560803746.731165
130,35,57,54,126,35,29,127,1560803746.753447
123,33,58,67,113,37,29,91,1560803746.767833
113,34,67,83,102,35,31,111,1560803746.791494
102,33,64,86,117,33,31,113,1560803746.80534
99,32,64,86,160,33,29,114,1560803746.835848
125,32,67,85,168,33,31,128,1560803746.852599
130,30,65,76,168,34,34,130,1560803746.865267
129,27,51,63,167,36,31,103,1560803746.887836
130,32,58,81,174,36,32,105,1560803746.910977
137,31,51,81,152,36,33,103,1560803746.925278
110,29,48,80,155,38,31,79,1560803746.947869
93,30,48,78,174,38,28,62,1560803746.978138
91,32,51,90,173,36,29,66,1560803746.987736
87,31,47,75,152,39,30,57,1560803747.007732
73,31,48,71,140,36,29,52,1560803747.031082
60,29,46,79,146,40,28,48,1560803747.053406
