ts,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1570816421.848986,218,1095,1005,942,1095,255,232,53
1570816421.850239,231,963,894,843,1007,240,162,51
1570816421.851687,225,891,934,828,982,227,146,49
1570816421.918921,228,952,853,620,618,210,118,40
1570816421.920258,186,912,935,579,601,270,132,44
1570816421.925307,220,971,975,531,482,274,121,45
1570816421.988909,221,1023,1001,492,467,274,121,45
1570816421.990195,237,883,958,416,423,281,115,44
1570816421.992385,277,864,980,369,406,285,132,44
1570816422.058921,276,772,868,391,274,214,102,39
1570816422.060194,286,686,832,390,246,234,100,37
1570816422.0616732,267,726,893,390,211,221,99,36
1570816422.128948,225,692,895,390,178,222,63,34
1570816422.130238,201,578,851,242,152,208,58,36
1570816422.269454,153,493,821,260,138,193,57,39
1570816422.270258,108,352,644,252,110,138,59,42
1570816422.271583,91,319,546,244,123,162,92,47
1570816422.2723632,112,405,684,418,171,304,104,42
1570816422.339079,139,891,1019,401,350,574,297,45
1570816422.340252,139,949,1023,415,363,645,342,46
1570816422.341756,208,955,995,410,436,663,390,47
1570816422.4081788,259,953,930,497,472,692,580,46
1570816422.409399,294,947,842,642,618,703,657,44
1570816422.410652,295,1059,907,839,756,655,778,42
1570816422.478436,336,1082,1022,900,855,701,893,53
1570816422.4795089,369,1149,1103,1021,854,798,1058,71
1570816422.480825,410,1219,1190,1017,925,832,1033,76
1570816422.548461,397,1129,1175,803,779,946,1114,95
1570816422.549561,365,1113,1111,747,725,926,1211,96
1570816422.550865,314,1043,1185,583,731,889,1161,88
1570816422.618897,211,919,1143,484,660,915,1235,101
1570816422.6201901,186,921,1085,449,636,877,1219,98
1570816422.621469,176,915,1058,402,565,816,1173,104
1570816422.758923,105,892,899,341,466,805,1089,197
1570816422.760222,92,1044,742,423,570,846,1186,448
1570816422.7615561,139,1185,742,585,775,968,1359,781
1570816422.828444,901,1007,1120,901,928,1275,1544,1192
1570816422.8295949,928,1045,1064,910,922,1322,1547,1106
